file_name,folder_name,text
11-12-20 Group Letter Critical Race Theory_embedded.txt,Comments received after 11-6-20 posting_embeddedText,"The California Department of Education received5submissionsthat contained the textbelow. Other identical comments may have been posted separately.

From: on behalf of Sally Nalven Sent: Thursday, November 12, 2020 12:30 PM To: Ethnic Studies Subject: [EXTERNAL] Remove Critical Race Theory from the ESMC

Dear Members of the Instructional Quality Commission,

I am an educator who is deeply concerned about the ESMC.

The ESMC continues to be based on critical race theory, a controversial and divisive ideology that is the wrong way to address the urgent issue of race in our high schools. Critical race theory divides people into oppressor and oppressed groups, creating a hostile and disempowering classroom environment for students. It is polarizing, not uniting. Simply put, we are told to teach students to first label people by the color of their skin, and then condemn white people as being racist.

Critical race theory is in opposition to California State Board of Education's obligation to not adopt instructional materials ""that contain any matter reflecting adversely upon persons on the basis of race."" (CA Education Code Section 51501). California teachers must ""impress upon the minds of the pupils ...the promotion of harmonious relations"" and not promote ""discriminatory bias on the basis of race"" in our classrooms. (CA Education Code Sections 233.5(a) and 51500).

Last month, Educators for Excellence in Education submitted a request to the IQC to remove critical race theory, explicit and implicit, from the ESMC. This group also submitted a detailed list of all explicit critical race theory references in the September ESMC, including a list of laws, standards, and guidelines related to this request. I ask that you use this as a basis for removing critical race theory from the ESMC and developing a curriculum that will accomplish the ethnic studies goals that we all want to achieve.

Sincerely, Sally Nalven Sally Nalven



"
11-12-20 Group Letter Protect Butler_embedded.txt,Comments received after 11-6-20 posting_embeddedText,"The California Department of Education received more than 3,100 submissions that contained the text below. Other identical comments may have been posted separately.

From: on behalf of Albert Haddad Sent: Wednesday, November 11, 2020 5:13 PM To: Ethnic Studies Subject: [EXTERNAL] Protect Butler's Palestinian students

Dear The Instructional Quality Commission CA,

As a supporter of Jewish Voice for Peace, I am writing to express my disappointment at the the treatment of Arab American studies in the CA ESMC.

Arab American studies belongs within Asian American studies, not relegated to the index of the ESMC � and the fact that Palestine is not mentioned at all is completely unacceptable. Students deserve an education that isn't hampered by anti-Palestinian lobbying. A robust Arab American series within the ESMC is absolutely critical.

California often paves the way for progressive legislation nationwide. But if the ESMC is adopted as proposed, it will be lifted up and promoted by anti-Palestinian organizations as a model for other states.

Furthermore, the IHRA's controversial ""definition"" of antisemitism must not be included in the ESMC. This definition exists to silence critics of Israel. It has nothing to do with Jewish safety or dismantling real antisemitism. In fact, using accusations of antisemitism for political purposes puts Jewish people in danger. This deeply flawed definition must not become a part of California's statewide curriculum.

I am calling on you to:

1) Return the Arab American lesson plan to where it belongs, within Asian American studies 2) Stop censoring Palestinian narratives from Arab-American lesson plans, and 3) Remove all definitions of antisemitism that conflate criticism of Israel or Zionism to antisemitism

Sincerely, Albert Haddad [email redacted]



"
11-11-20 Group Letter Arab Americans 2_embedded.txt,Comments received after 11-6-20 posting_embeddedText,"The California Department of Education received more than 4,600 submissions that contained the text below. Other identical comments may have been posted separately.

From: Mariano Svidler Sent: Wednesday, November 11, 2020 10:33 AM To: Ethnic Studies Subject: [EXTERNAL] Please do not remove Arab Americans from our states curriculum

Dear Ethnic Studies Open Comment,

Dear Ethnic Studies Open Comment,

I'm disheartened to hear that elected officials have caved to tremendous pressure to exclude Arab Americans from California's high school ethnic studies curriculum by relegating the Arab American lesson to the appendix, insisting on the inclusion of ""various perspectives"" on racism, and not consulting experts on the revisions to the overall curriculum.

If the biggest education system in the United States decides Arab-American Studies and ethnic studies are a ""problem,"" we're going to face a dire precedent. I'm emailing you to ask that you please reject adopting these offensive revisions.

If there was ever a time that we should be protecting anti-racist education, and ensuring students learn about struggles of indigenous and racialized communities at school--including that of Arab Americans--and not on TV or random YouTube autoplay sessions, it's now.

The ESMC is structured around the core pillars developed by the founders of Ethnic Studies in 1969: American Indian studies, Africana/Black studies, Chicanx/Latinx studies, and Asian American studies. Following a decades-long tradition in higher education, the ESMC includes Arab American studies within Asian American studies.

TURATH (Teaching Understanding and Representing Arabs Throughout History) is a 2020 report researched and written by the teenage members of Arab Youth Organizing (AYO). According to AYO's findings, more than 66% of the students surveyed said they received most of their information on Arabs and/or Muslims from the internet or television; only 2.3% learned about Arabs and/or Muslims at school.

Leading Asian American scholars, including the National Association of Asian American studies, have issued statements defending the inclusion of Arab American studies in the CA ESMC.

Ethnic Studies has been linked to increases in positive personal, academic, and social outcomes for students. And in the post-9/11 era, exacerbated by Trump's Muslim ban, Arab American students are desperately in need of curriculum that reflects their histories and current realities.



Furthermore, the racial disparities in the impact of COVID-19, the xenophobic targeting of Asian Americans as ""vectors"" of disease, and the national uprising in response to the murder of George Floyd point to the need for anti-racist education: All students need comprehensive Ethnic Studies in their K-12 curriculum to build empathy, unity and solidarity with each other, strengthening our movements for justice.

In light of all of this information, I ask that you please reject adopting the offensive revisions (relegating the Arab American lesson to the appendix, insisting on the inclusion of ""various perspectives"" on racism, etc) to the curriculum.

Thank you, Mariano Svidler [email redacted]

Sincerely, Mariano Svidler



"
11-11-20 Group Letter Remove Political Agenda_embedded.txt,Comments received after 11-6-20 posting_embeddedText,"The California Department of Education received 273 submissions that were formatted like the one below, with no content other than the person's name and location. Other identical comments may have been posted separately.

From: on behalf of Sandra Citrin Sent: Wednesday, November 11, 2020 2:42 PM To: Ethnic Studies; [email redacted]; Tony Thurmond Cc: [emails redacted] Subject: [EXTERNAL] Remove Political Agenda from CA Ethnic Studies

Sandra Citrin Sandra Citrin Palo Alto



"
11-11-20 Group Letter Guiding Principles_embedded.txt,Comments received after 11-6-20 posting_embeddedText,"The California Department of Education received 271 submissions that were formatted like the one below, with no content other than the person's name and location. Other identical comments may have been posted separately.

From: on behalf of Tara Ashley Sent: Wednesday, November 11, 2020 1:59 PM To: Ethnic Studies Cc: Tony Thurmond; [email redacted]; Shanine Coats Subject: [EXTERNAL] ESMC Guiding Principles (Line Edits #48-51)

Tara Ashley Tustin



"
11-9-20 Group Letter Arab Americans_embedded.txt,Comments received after 11-6-20 posting_embeddedText,"The California Department of Education received an additional 51 submissions of the comment below after the November 6, 2020 posting, in addition to over 10,000 copies received previously Other identical comments may have been posted separately.

From: Stephanie Meacham Sent: Friday, November 6, 2020 9:08 PM To: Ethnic Studies Subject: [EXTERNAL] Save Ethnic Studies! Tell Arab American Stories.

Dear Ethnic Studies Open Comment,

It's never been clearer how important Ethnic Studies is and we urge you to support the inclusion of Arab American studies in the Asian American studies curriculum.

The racial disparities in the impact of Covid-19, the xenophobic targeting of Asian Americans as ""vectors"" of disease, and the national uprising in response to the murder of George Floyd point to the need for anti-racist education: All students need comprehensive Ethnic Studies in their K12 curriculum to build empathy, unity and solidarity with each other, strengthening our movements for justice.

The ESMC is structured around the core pillars developed by the founders of Ethnic Studies in 1969: American Indian studies, Africana/Black studies, Chicanx/Latinx studies, and Asian American studies. Following a decades-long tradition in higher education, the ESMC includes Arab American studies within Asian American studies.

Leading Asian American scholars, including the National Association of Asian American studies, have issued statements defending the inclusion of Arab American studies in the CA ESMC.

Ethnic Studies has been linked to increases in positive personal, academic, and social outcomes for students.

In the post-9/11 era, exacerbated by Trump's Muslim ban, Arab American students are desperately in need of curriculum that reflects their histories and current realities.

TURATH (Teaching Understanding and Representing Arabs Throughout History) is a 2020 report researched and written by the teenage members of Arab Youth Organizing (AYO). According to AYO's findings, more than 66% of the students surveyed said they received most of their information on Arabs and/or Muslims from the internet or television; only 2.3% learned about Arabs and/or Muslims at school.

Sincerely, Stephanie Meacham



"
11-12-20 Group Letter Support JIMENA_embedded.txt,Comments received after 11-6-20 posting_embeddedText,"The California Department of Education received 96 submissions of the comment below. Other identical comments may have been posted separately.

From: on behalf of Miryam Kornfeld > Sent: Thursday, November 12, 2020 6:39 PM To: Ethnic Studies Subject: [EXTERNAL] Comment on the Ethnic Studies Model Curriculum

Keep Hate and Bias Out of CA Public Schools

Submitted At 2020-11-13 02:39:46 Please enter your name Miryam Kornfeld Please enter your zip code 11102 Please enter your email [redacted] Personalize your message to CA officals: Dear IQC Members,

I urge you to ACCEPT revisions to the ESMC that will:

1. Include diverse Jewish experiences and accurately define antisemitism in all its forms. 2. Treat Middle Eastern communities equally, including by adding the lesson plan submitted by JIMENA in the same section as the one about Arab Americans. 3. Remove ""Guiding Values and Principles"" which can and will be used to justify bringing hate and bias into our classrooms.

I also urge you to REJECT pressure to:

1. Exclude or edit down any definition of antisemitism. 2. Give Arab Americans a special place in the curriculum above Jews, Armenians, Sikhs, Koreans or others. 3. Vote against changes that encourage critical thinking instead of one sided political agendas in the curriculum.

Sincerely, Submission ID 5fadf1f20d9f341360174858



"
1-14-21 Group Letter Antisemitism 4_embedded.txt,Third Field Review (Dec 2020 - Jan 2021)_embeddedText,"The California Department of Education received 154 submissions that contained the language below. Other identical comments may have been posted separately.

From: Nina Anderson Sent: Thursday, January 14, 2021 12:35 PM To: Ethnic Studies Subject: [EXTERNAL] Maintain Key Improvements in the Ethnic Studies Model Curriculum

Re: Maintain Key Improvements in the Ethnic Studies Model Curriculum Dear ESMC Public Comment Inbox, Thank you for your hard work and efforts to revise and improve the Ethnic Studies Model Curriculum (ESMC). The latest ESMC draft contains key changes and additions that I urge you to maintain, including: � Important references to antisemitism, including information about its origins and ongoing prevalence in the United States � Lesson plans that highlight and explore the diversity of the Jewish community, Jewish identity, and the Jewish American experience � The removal of explicitly antisemitic and anti-Israel content � Safeguards to help prevent hatred and bias in California schools Antisemitic incidents and hate crimes targeting members of the Jewish community, including Jewish students, have been steadily rising in recent years, as have other similar forms of bigotry. Education is a critical tool for combating hate and promoting respect and social harmony. To that end, teaching about the diverse cultural histories, important contributions, challenges and triumphs of California's numerous ethnic communities is long overdue and more essential than ever. The ESMC will impact the education of millions of students and the importance of maintaining the improvements outlined above cannot be overstated. Thank you again and please continue to embrace the core values of inclusion, equity, and balance within the curriculum. Sincerely, Nina Anderson [contact information redacted] San Francisco, CA 94127 Constituent

Prepared by OneClickPolitics (tm) at www.oneclickpolitics.com. OneClickPolitics provides online communications tools for supporters of a cause, issue, organization or association to contact their elected officials. For more information regarding our policies and services, please contact info@oneclickpolitics.com



"
12-21-20 Group Letter Remove Critical Ethnic Studies_embedded.txt,Third Field Review (Dec 2020 - Jan 2021)_embeddedText,"The California Department of Education received 11 submissions that contained the text below. Other identical comments may have been posted separately.

From: [email redacted] on behalf of Joanne Donsky Sent: Sunday, December 20, 2020 8:02 PM To: Ethnic Studies; [emails redacted]; Tony Thurmond Cc: [emails redacted] Subject: [EXTERNAL] Remove Critical Ethnic Studies Foundation from CA Ethnic Studies

Dear California Department of Education and State Board of Education,

While I appreciate some of the changes that have been made in the ESMC, I am still concerned about changes that still need to be made.

I am extremely concerned about the Critical Ethnic Studies' (ES) polarizing approach and narrow ideology that still corrupt a curriculum that should build bridges among all students and ethnic groups. I ask that you replace the Critical ES foundation in the Guiding Values and Principles AND the resulting lessons, with a Constructive ES foundation, which is more consistent with the desirable outcomes stated by the CDE and SBE.

This includes:

1. Removing the us-versus-them Critical ES ideology and revising lessons to confront racism and discrimination with mutual respect and empathy;

2. Removing content or figures that promote violence or demean any ethnic group;

3. Replacing the narrow ideological lens that romanticizes any one-sided political, economic, militant, or separatist movement, with a balanced evaluation including both positive and negative sides of the movement or ""ism"";

4. Replacing Critical ES language and leading questions that assume a foregone conclusion, with broader constructive language that invites inquiry from multiple perspectives.

I add my voice to the requests from the Alliance for Constructive Ethnic Studies. We all want a constructive Ethnic Studies curriculum, such as that of the Los Angeles Unified School District (LAUSD), which represents the struggles and contributions of ethnic groups and confronts racism, while building mutual understanding among all students and fostering balanced analysis.

Thank you for all the improvements to the curriculum so far, and for your thoughtful consideration of these crucial revisions for the benefit of all the students in our state.

Respectfully, Joanne Donsky



Joanne Donsky



"
12-24-20 Group Letter Remove Critical Race Theory_embedded.txt,Third Field Review (Dec 2020 - Jan 2021)_embeddedText,"The California Department of Education received more than 1200 submissions that contained the text below. Other identical comments may have been posted separately.

From: [email redacted] on behalf of Lia Rensin Sent: Thursday, December 24, 2020 2:44 PM To: Ethnic Studies; [emails redacted]; Tony Thurmond Cc: [emails redacted] Subject: [EXTERNAL] Remove Critical Race Theory from the ESMC

Dear Members of the CA State Board of Education:

I am a parent who is deeply concerned about the latest draft Ethnic Studies Model Curriculum (ESMC), which continues to be based on critical race theory.

Critical race theory divides students by race into oppressor and oppressed groups, creating a discriminatory, hostile, and disempowering classroom environment for students. Critical race theory states that racism is pervasive and permanent and rejects principles of objectivity, neutrality, and equal opportunity.

Critical race theory conflicts with your obligation as State Board of Education members not to adopt instructional materials ""that contain any matter reflecting adversely upon persons on the basis of race."" (CA Education Code Section 51501) It also conflicts with our obligation, as California teachers, to ""impress upon the minds of the pupils ...the promotion of harmonious relations"" and not promote ""discriminatory bias on the basis of race"" in our classrooms. (CA Education Code Sections 233.5(a) and 51500)

I ask that you vote to remove critical race theory from the ESMC by:

1. Deleting the ESMC's directive for educators to learn critical race theory as a key framework and pedagogy for teaching ethnic studies. 2. Removing the ESMC's second definition of race which calls it ""a (neo)colonial...'master category' (that) break(s) down as people of color (POC) and white people."" 3. Deleting all ESMC references to ""whiteness,"" ""racial hierarchy,"" and ""racial privilege"" as well as race-specific qualifiers preceding the words ""supremacy"" and ""privilege."" 4. Removing from the ESMC resources and UC-approved course outlines that present critical race theory as the only approach to understanding race relations.

By rejecting critical race theory at your upcoming meeting in March, you will help ensure that the ESMC accomplishes the California legislature's goal -- ""preparing pupils to be global citizens with an appreciation for the contributions of multiple cultures."" (AB 2016)

Sincerely,

Lia Rensin



Lia Rensin



"
